Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
,11/06/2018 04:03:27 pm,580.300,0.1,0.07
,11/06/2018 04:03:27 pm,580.350,0.1,0.07
,11/06/2018 04:03:27 pm,580.400,0.2,0.18
,11/06/2018 04:03:27 pm,580.450,0.2,0.22
,11/06/2018 04:03:27 pm,580.500,0.2,0.22
,11/06/2018 04:03:27 pm,580.550,0.2,0.22
,11/06/2018 04:03:27 pm,580.600,0.2,0.22
,11/06/2018 04:03:27 pm,580.650,0.2,0.23
,11/06/2018 04:03:27 pm,580.700,0.2,0.23
,11/06/2018 04:03:27 pm,580.750,0.2,0.23
,11/06/2018 04:03:27 pm,580.800,0.2,0.23
,11/06/2018 04:03:27 pm,580.850,0.2,0.24
,11/06/2018 04:03:27 pm,580.900,0.2,0.24
,11/06/2018 04:03:27 pm,580.950,0.2,0.24
,11/06/2018 04:03:28 pm,581.000,0.2,0.24
,11/06/2018 04:03:28 pm,581.050,0.2,0.24
,11/06/2018 04:03:28 pm,581.100,0.2,0.24
,11/06/2018 04:03:28 pm,581.150,0.2,0.25
,11/06/2018 04:03:28 pm,581.200,0.2,0.25
,11/06/2018 04:03:28 pm,581.250,0.2,0.25
,11/06/2018 04:03:28 pm,581.300,0.2,0.25
,11/06/2018 04:03:28 pm,581.350,0.2,0.25
,11/06/2018 04:03:28 pm,581.400,0.3,0.25
,11/06/2018 04:03:28 pm,581.450,0.2,0.25
,11/06/2018 04:03:28 pm,581.500,0.2,0.24
,11/06/2018 04:03:28 pm,581.550,0.2,0.23
,11/06/2018 04:03:28 pm,581.600,0.2,0.21
,11/06/2018 04:03:28 pm,581.650,0.2,0.20
,11/06/2018 04:03:28 pm,581.700,0.2,0.19
,11/06/2018 04:03:28 pm,581.750,0.2,0.19
,11/06/2018 04:03:28 pm,581.800,0.2,0.19
,11/06/2018 04:03:28 pm,581.850,0.2,0.19
,11/06/2018 04:03:28 pm,581.900,0.2,0.19
,11/06/2018 04:03:28 pm,581.950,0.2,0.19
,11/06/2018 04:03:29 pm,582.000,0.2,0.19
,11/06/2018 04:03:29 pm,582.050,0.2,0.19
,11/06/2018 04:03:29 pm,582.100,0.2,0.19
,11/06/2018 04:03:29 pm,582.150,0.2,0.19
,11/06/2018 04:03:29 pm,582.200,0.2,0.19
,11/06/2018 04:03:29 pm,582.250,0.2,0.19
,11/06/2018 04:03:29 pm,582.300,0.2,0.19
,11/06/2018 04:03:29 pm,582.350,0.2,0.18
,11/06/2018 04:03:29 pm,582.400,0.2,0.19
,11/06/2018 04:03:29 pm,582.450,0.2,0.18
,11/06/2018 04:03:29 pm,582.500,0.2,0.19
,11/06/2018 04:03:29 pm,582.550,0.2,0.19
,11/06/2018 04:03:29 pm,582.600,0.2,0.19
,11/06/2018 04:03:29 pm,582.650,0.2,0.19
,11/06/2018 04:03:29 pm,582.700,0.2,0.19
,11/06/2018 04:03:29 pm,582.750,0.2,0.20
,11/06/2018 04:03:29 pm,582.800,0.2,0.19
,11/06/2018 04:03:29 pm,582.850,0.2,0.19
,11/06/2018 04:03:29 pm,582.900,0.2,0.19
,11/06/2018 04:03:29 pm,582.950,0.2,0.19
,11/06/2018 04:03:30 pm,583.000,0.2,0.18
,11/06/2018 04:03:30 pm,583.050,0.2,0.19
,11/06/2018 04:03:30 pm,583.100,0.2,0.19
,11/06/2018 04:03:30 pm,583.150,0.2,0.19
,11/06/2018 04:03:30 pm,583.200,0.2,0.19
,11/06/2018 04:03:30 pm,583.250,0.2,0.19
,11/06/2018 04:03:30 pm,583.300,0.2,0.18
,11/06/2018 04:03:30 pm,583.350,0.2,0.18
,11/06/2018 04:03:30 pm,583.400,0.2,0.18
,11/06/2018 04:03:30 pm,583.450,0.2,0.19
,11/06/2018 04:03:30 pm,583.500,0.2,0.19
,11/06/2018 04:03:30 pm,583.550,0.2,0.18
,11/06/2018 04:03:30 pm,583.600,0.2,0.19
,11/06/2018 04:03:30 pm,583.650,0.2,0.18
,11/06/2018 04:03:30 pm,583.700,0.2,0.19
,11/06/2018 04:03:30 pm,583.750,0.2,0.19
,11/06/2018 04:03:30 pm,583.800,0.2,0.19
,11/06/2018 04:03:30 pm,583.850,0.2,0.18
,11/06/2018 04:03:30 pm,583.900,0.2,0.18
,11/06/2018 04:03:30 pm,583.950,0.2,0.18
,11/06/2018 04:03:31 pm,584.000,0.2,0.17
,11/06/2018 04:03:31 pm,584.050,0.2,0.16
,11/06/2018 04:03:31 pm,584.100,0.2,0.16
,11/06/2018 04:03:31 pm,584.150,0.2,0.16
,11/06/2018 04:03:31 pm,584.200,0.2,0.15
,11/06/2018 04:03:31 pm,584.250,0.1,0.15
,11/06/2018 04:03:31 pm,584.300,0.1,0.15
,11/06/2018 04:03:31 pm,584.350,0.1,0.14
,11/06/2018 04:03:31 pm,584.400,0.1,0.14
,11/06/2018 04:03:31 pm,584.450,0.1,0.15
,11/06/2018 04:03:31 pm,584.500,0.1,0.14
,11/06/2018 04:03:31 pm,584.550,0.1,0.15
,11/06/2018 04:03:31 pm,584.600,0.1,0.15
,11/06/2018 04:03:31 pm,584.650,0.1,0.15
,11/06/2018 04:03:31 pm,584.700,0.1,0.15
,11/06/2018 04:03:31 pm,584.750,0.1,0.15
,11/06/2018 04:03:31 pm,584.800,0.1,0.14
,11/06/2018 04:03:31 pm,584.850,0.1,0.15
,11/06/2018 04:03:31 pm,584.900,0.1,0.14
,11/06/2018 04:03:31 pm,584.950,0.1,0.15
,11/06/2018 04:03:32 pm,585.000,0.1,0.15
,11/06/2018 04:03:32 pm,585.050,0.2,0.15
,11/06/2018 04:03:32 pm,585.100,0.2,0.15
,11/06/2018 04:03:32 pm,585.150,0.2,0.15
,11/06/2018 04:03:32 pm,585.200,0.2,0.15
,11/06/2018 04:03:32 pm,585.250,0.2,0.15
,11/06/2018 04:03:32 pm,585.300,0.1,0.15
,11/06/2018 04:03:32 pm,585.350,0.1,0.15
,11/06/2018 04:03:32 pm,585.400,0.2,0.15
,11/06/2018 04:03:32 pm,585.450,0.1,0.14
,11/06/2018 04:03:32 pm,585.500,0.1,0.15
,11/06/2018 04:03:32 pm,585.550,0.1,0.15
,11/06/2018 04:03:32 pm,585.600,0.1,0.14
,11/06/2018 04:03:32 pm,585.650,0.1,0.14
,11/06/2018 04:03:32 pm,585.700,0.1,0.14
,11/06/2018 04:03:32 pm,585.750,0.1,0.14
,11/06/2018 04:03:32 pm,585.800,0.1,0.14
,11/06/2018 04:03:32 pm,585.850,0.1,0.14
,11/06/2018 04:03:32 pm,585.900,0.1,0.14
,11/06/2018 04:03:32 pm,585.950,0.1,0.14
,11/06/2018 04:03:33 pm,586.000,0.1,0.14
,11/06/2018 04:03:33 pm,586.050,0.1,0.13
,11/06/2018 04:03:33 pm,586.100,0.1,0.13
,11/06/2018 04:03:33 pm,586.150,0.1,0.13
,11/06/2018 04:03:33 pm,586.200,0.1,0.12
,11/06/2018 04:03:33 pm,586.250,0.1,0.13
,11/06/2018 04:03:33 pm,586.300,0.1,0.12
,11/06/2018 04:03:33 pm,586.350,0.1,0.11
,11/06/2018 04:03:33 pm,586.400,0.1,0.11
,11/06/2018 04:03:33 pm,586.450,0.1,0.11
,11/06/2018 04:03:33 pm,586.500,0.1,0.11
,11/06/2018 04:03:33 pm,586.550,0.1,0.11
,11/06/2018 04:03:33 pm,586.600,0.1,0.11
,11/06/2018 04:03:33 pm,586.650,0.1,0.10
,11/06/2018 04:03:33 pm,586.700,0.1,0.10
,11/06/2018 04:03:33 pm,586.750,0.1,0.09
,11/06/2018 04:03:33 pm,586.800,0.1,0.09
,11/06/2018 04:03:33 pm,586.850,0.1,0.09
,11/06/2018 04:03:33 pm,586.900,0.1,0.09
,11/06/2018 04:03:33 pm,586.950,0.1,0.09
,11/06/2018 04:03:34 pm,587.000,0.1,0.08
,11/06/2018 04:03:34 pm,587.050,0.1,0.08
,11/06/2018 04:03:34 pm,587.100,0.1,0.09
,11/06/2018 04:03:34 pm,587.150,0.1,0.08
,11/06/2018 04:03:34 pm,587.200,0.1,0.08
,11/06/2018 04:03:34 pm,587.250,0.1,0.08
,11/06/2018 04:03:34 pm,587.300,0.1,0.08
,11/06/2018 04:03:34 pm,587.350,0.1,0.08
,11/06/2018 04:03:34 pm,587.400,0.1,0.08
,11/06/2018 04:03:34 pm,587.450,0.1,0.08
,11/06/2018 04:03:34 pm,587.500,0.1,0.09
,11/06/2018 04:03:34 pm,587.550,0.1,0.09
,11/06/2018 04:03:34 pm,587.600,0.1,0.08
,11/06/2018 04:03:34 pm,587.650,0.1,0.09
,11/06/2018 04:03:34 pm,587.700,0.1,0.09
,11/06/2018 04:03:34 pm,587.750,0.1,0.09
,11/06/2018 04:03:34 pm,587.800,0.1,0.09
,11/06/2018 04:03:34 pm,587.850,0.1,0.09
,11/06/2018 04:03:34 pm,587.900,0.1,0.09
,11/06/2018 04:03:34 pm,587.950,0.1,0.09
,11/06/2018 04:03:35 pm,588.000,0.1,0.09
,11/06/2018 04:03:35 pm,588.050,0.1,0.09
,11/06/2018 04:03:35 pm,588.100,0.1,0.10
,11/06/2018 04:03:35 pm,588.150,0.1,0.09
,11/06/2018 04:03:35 pm,588.200,0.1,0.10
,11/06/2018 04:03:35 pm,588.250,0.1,0.09
,11/06/2018 04:03:35 pm,588.300,0.1,0.09
,11/06/2018 04:03:35 pm,588.350,0.1,0.09
,11/06/2018 04:03:35 pm,588.400,0.1,0.09
,11/06/2018 04:03:35 pm,588.450,0.1,0.09
,11/06/2018 04:03:35 pm,588.500,0.1,0.10
,11/06/2018 04:03:35 pm,588.550,0.1,0.09
,11/06/2018 04:03:35 pm,588.600,0.1,0.09
,11/06/2018 04:03:35 pm,588.650,0.1,0.10
,11/06/2018 04:03:35 pm,588.700,0.1,0.09
,11/06/2018 04:03:35 pm,588.750,0.1,0.10
,11/06/2018 04:03:35 pm,588.800,0.1,0.09
,11/06/2018 04:03:35 pm,588.850,0.1,0.09
,11/06/2018 04:03:35 pm,588.900,0.1,0.09
,11/06/2018 04:03:35 pm,588.950,0.1,0.09
