Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
,11/06/2018 03:33:21 pm,765.350,0.0,0.03
,11/06/2018 03:33:21 pm,765.400,0.0,0.03
,11/06/2018 03:33:21 pm,765.450,0.0,0.03
,11/06/2018 03:33:21 pm,765.500,0.0,0.03
,11/06/2018 03:33:21 pm,765.550,0.0,0.03
,11/06/2018 03:33:21 pm,765.600,0.0,0.03
,11/06/2018 03:33:21 pm,765.650,0.0,0.03
,11/06/2018 03:33:21 pm,765.700,0.0,0.03
,11/06/2018 03:33:21 pm,765.750,0.0,0.03
,11/06/2018 03:33:21 pm,765.800,0.0,0.03
,11/06/2018 03:33:21 pm,765.850,0.0,0.03
,11/06/2018 03:33:21 pm,765.900,0.0,0.03
,11/06/2018 03:33:21 pm,765.950,0.0,0.03
,11/06/2018 03:33:22 pm,766.000,0.0,0.03
,11/06/2018 03:33:22 pm,766.050,0.0,0.03
,11/06/2018 03:33:22 pm,766.100,0.0,0.03
,11/06/2018 03:33:22 pm,766.150,0.0,0.03
,11/06/2018 03:33:22 pm,766.200,0.0,0.03
,11/06/2018 03:33:22 pm,766.250,0.0,0.03
,11/06/2018 03:33:22 pm,766.300,0.0,0.03
,11/06/2018 03:33:22 pm,766.350,0.0,0.03
,11/06/2018 03:33:22 pm,766.400,0.0,0.03
,11/06/2018 03:33:22 pm,766.450,0.0,0.03
,11/06/2018 03:33:22 pm,766.500,0.0,0.03
,11/06/2018 03:33:22 pm,766.550,0.0,0.03
,11/06/2018 03:33:22 pm,766.600,0.0,0.03
,11/06/2018 03:33:22 pm,766.650,0.0,0.03
,11/06/2018 03:33:22 pm,766.700,0.0,0.03
,11/06/2018 03:33:22 pm,766.750,0.0,0.03
,11/06/2018 03:33:22 pm,766.800,0.0,0.03
,11/06/2018 03:33:22 pm,766.850,0.0,0.03
,11/06/2018 03:33:22 pm,766.900,0.0,0.03
,11/06/2018 03:33:22 pm,766.950,0.0,0.03
,11/06/2018 03:33:23 pm,767.000,0.0,0.03
,11/06/2018 03:33:23 pm,767.050,0.0,0.03
,11/06/2018 03:33:23 pm,767.100,0.0,0.03
,11/06/2018 03:33:23 pm,767.150,0.0,0.03
,11/06/2018 03:33:23 pm,767.200,0.0,0.03
,11/06/2018 03:33:23 pm,767.250,0.0,0.03
,11/06/2018 03:33:23 pm,767.300,0.0,0.03
,11/06/2018 03:33:23 pm,767.350,0.0,0.03
,11/06/2018 03:33:23 pm,767.400,0.0,0.03
,11/06/2018 03:33:23 pm,767.450,0.0,0.03
,11/06/2018 03:33:23 pm,767.500,0.0,0.03
,11/06/2018 03:33:23 pm,767.550,0.0,0.03
,11/06/2018 03:33:23 pm,767.600,0.0,0.03
,11/06/2018 03:33:23 pm,767.650,0.0,0.03
,11/06/2018 03:33:23 pm,767.700,0.0,0.03
,11/06/2018 03:33:23 pm,767.750,0.0,0.03
,11/06/2018 03:33:23 pm,767.800,0.0,0.03
,11/06/2018 03:33:23 pm,767.850,0.0,0.03
,11/06/2018 03:33:23 pm,767.900,0.0,0.03
,11/06/2018 03:33:23 pm,767.950,0.0,0.03
,11/06/2018 03:33:24 pm,768.000,0.0,0.03
,11/06/2018 03:33:24 pm,768.050,0.0,0.03
,11/06/2018 03:33:24 pm,768.100,0.0,0.03
,11/06/2018 03:33:24 pm,768.150,0.0,0.03
,11/06/2018 03:33:24 pm,768.200,0.0,0.03
,11/06/2018 03:33:24 pm,768.250,0.0,0.03
,11/06/2018 03:33:24 pm,768.300,0.0,0.03
,11/06/2018 03:33:24 pm,768.350,0.0,0.03
,11/06/2018 03:33:24 pm,768.400,0.0,0.03
,11/06/2018 03:33:24 pm,768.450,0.0,0.03
,11/06/2018 03:33:24 pm,768.500,0.0,0.03
,11/06/2018 03:33:24 pm,768.550,0.0,0.03
,11/06/2018 03:33:24 pm,768.600,0.0,0.03
,11/06/2018 03:33:24 pm,768.650,0.0,0.03
,11/06/2018 03:33:24 pm,768.700,0.0,0.03
,11/06/2018 03:33:24 pm,768.750,0.0,0.03
,11/06/2018 03:33:24 pm,768.800,0.0,0.03
,11/06/2018 03:33:24 pm,768.850,0.0,0.03
,11/06/2018 03:33:24 pm,768.900,0.0,0.03
,11/06/2018 03:33:24 pm,768.950,0.0,0.03
,11/06/2018 03:33:25 pm,769.000,0.0,0.03
,11/06/2018 03:33:25 pm,769.050,0.0,0.03
,11/06/2018 03:33:25 pm,769.100,0.0,0.03
,11/06/2018 03:33:25 pm,769.150,0.0,0.03
,11/06/2018 03:33:25 pm,769.200,0.0,0.03
,11/06/2018 03:33:25 pm,769.250,0.0,0.03
,11/06/2018 03:33:25 pm,769.300,0.0,0.03
,11/06/2018 03:33:25 pm,769.350,0.0,0.03
,11/06/2018 03:33:25 pm,769.400,0.0,0.03
,11/06/2018 03:33:25 pm,769.450,0.0,0.03
,11/06/2018 03:33:25 pm,769.500,0.0,0.03
,11/06/2018 03:33:25 pm,769.550,0.0,0.03
,11/06/2018 03:33:25 pm,769.600,0.0,0.03
,11/06/2018 03:33:25 pm,769.650,0.0,0.03
,11/06/2018 03:33:25 pm,769.700,0.0,0.03
,11/06/2018 03:33:25 pm,769.750,0.0,0.03
,11/06/2018 03:33:25 pm,769.800,0.0,0.03
,11/06/2018 03:33:25 pm,769.850,0.0,0.03
,11/06/2018 03:33:25 pm,769.900,0.0,0.03
,11/06/2018 03:33:25 pm,769.950,0.0,0.03
,11/06/2018 03:33:26 pm,770.000,0.0,0.03
,11/06/2018 03:33:26 pm,770.050,0.0,0.03
,11/06/2018 03:33:26 pm,770.100,0.0,0.03
,11/06/2018 03:33:26 pm,770.150,0.0,0.03
,11/06/2018 03:33:26 pm,770.200,0.0,0.03
,11/06/2018 03:33:26 pm,770.250,0.0,0.03
,11/06/2018 03:33:26 pm,770.300,0.0,0.03
,11/06/2018 03:33:26 pm,770.350,0.0,0.03
,11/06/2018 03:33:26 pm,770.400,0.0,0.03
,11/06/2018 03:33:26 pm,770.450,0.0,0.03
,11/06/2018 03:33:26 pm,770.500,0.0,0.03
,11/06/2018 03:33:26 pm,770.550,0.0,0.03
,11/06/2018 03:33:26 pm,770.600,0.0,0.03
,11/06/2018 03:33:26 pm,770.650,0.0,0.03
,11/06/2018 03:33:26 pm,770.700,0.0,0.03
,11/06/2018 03:33:26 pm,770.750,0.0,0.03
,11/06/2018 03:33:26 pm,770.800,0.0,0.03
,11/06/2018 03:33:26 pm,770.850,0.0,0.03
,11/06/2018 03:33:26 pm,770.900,0.0,0.03
,11/06/2018 03:33:26 pm,770.950,0.0,0.03
,11/06/2018 03:33:27 pm,771.000,0.0,0.03
,11/06/2018 03:33:27 pm,771.050,0.0,0.03
,11/06/2018 03:33:27 pm,771.100,0.0,0.03
,11/06/2018 03:33:27 pm,771.150,0.0,0.03
,11/06/2018 03:33:27 pm,771.200,0.0,0.03
,11/06/2018 03:33:27 pm,771.250,0.0,0.03
,11/06/2018 03:33:27 pm,771.300,0.0,0.03
,11/06/2018 03:33:27 pm,771.350,0.0,0.03
,11/06/2018 03:33:27 pm,771.400,0.0,0.03
,11/06/2018 03:33:27 pm,771.450,0.0,0.03
,11/06/2018 03:33:27 pm,771.500,0.0,0.03
,11/06/2018 03:33:27 pm,771.550,0.0,0.03
,11/06/2018 03:33:27 pm,771.600,0.0,0.03
,11/06/2018 03:33:27 pm,771.650,0.0,0.03
,11/06/2018 03:33:27 pm,771.700,0.0,0.03
,11/06/2018 03:33:27 pm,771.750,0.0,0.03
,11/06/2018 03:33:27 pm,771.800,0.0,0.03
,11/06/2018 03:33:27 pm,771.850,0.0,0.03
,11/06/2018 03:33:27 pm,771.900,0.0,0.03
,11/06/2018 03:33:27 pm,771.950,0.0,0.03
,11/06/2018 03:33:28 pm,772.000,0.0,0.03
,11/06/2018 03:33:28 pm,772.050,0.0,0.03
,11/06/2018 03:33:28 pm,772.100,0.0,0.03
,11/06/2018 03:33:28 pm,772.150,0.0,0.03
,11/06/2018 03:33:28 pm,772.200,0.0,0.03
,11/06/2018 03:33:28 pm,772.250,0.0,0.03
,11/06/2018 03:33:28 pm,772.300,0.0,0.03
,11/06/2018 03:33:28 pm,772.350,0.0,0.03
,11/06/2018 03:33:28 pm,772.400,0.0,0.03
,11/06/2018 03:33:28 pm,772.450,0.0,0.03
,11/06/2018 03:33:28 pm,772.500,0.0,0.03
,11/06/2018 03:33:28 pm,772.550,0.0,0.03
,11/06/2018 03:33:28 pm,772.600,0.0,0.03
,11/06/2018 03:33:28 pm,772.650,0.0,0.03
,11/06/2018 03:33:28 pm,772.700,0.0,0.03
,11/06/2018 03:33:28 pm,772.750,0.0,0.03
,11/06/2018 03:33:28 pm,772.800,0.0,0.03
,11/06/2018 03:33:28 pm,772.850,0.0,0.03
,11/06/2018 03:33:28 pm,772.900,0.0,0.03
,11/06/2018 03:33:28 pm,772.950,0.0,0.03
,11/06/2018 03:33:29 pm,773.000,0.0,0.03
,11/06/2018 03:33:29 pm,773.050,0.0,0.03
,11/06/2018 03:33:29 pm,773.100,0.0,0.03
,11/06/2018 03:33:29 pm,773.150,0.0,0.03
,11/06/2018 03:33:29 pm,773.200,0.0,0.03
,11/06/2018 03:33:29 pm,773.250,0.0,0.03
,11/06/2018 03:33:29 pm,773.300,0.0,0.03
,11/06/2018 03:33:29 pm,773.350,0.0,0.03
,11/06/2018 03:33:29 pm,773.400,0.0,0.03
,11/06/2018 03:33:29 pm,773.450,0.0,0.03
,11/06/2018 03:33:29 pm,773.500,0.0,0.03
,11/06/2018 03:33:29 pm,773.550,0.0,0.03
,11/06/2018 03:33:29 pm,773.600,0.0,0.03
,11/06/2018 03:33:29 pm,773.650,0.0,0.03
,11/06/2018 03:33:29 pm,773.700,0.0,0.03
,11/06/2018 03:33:29 pm,773.750,0.0,0.03
,11/06/2018 03:33:29 pm,773.800,0.0,0.03
,11/06/2018 03:33:29 pm,773.850,0.0,0.03
,11/06/2018 03:33:29 pm,773.900,0.0,0.03
,11/06/2018 03:33:29 pm,773.950,0.0,0.03
,11/06/2018 03:33:30 pm,774.000,0.0,0.03
,11/06/2018 03:33:30 pm,774.050,0.0,0.03
,11/06/2018 03:33:30 pm,774.100,0.0,0.03
,11/06/2018 03:33:30 pm,774.150,0.0,0.03
,11/06/2018 03:33:30 pm,774.200,0.0,0.03
,11/06/2018 03:33:30 pm,774.250,0.0,0.03
,11/06/2018 03:33:30 pm,774.300,0.0,0.03
,11/06/2018 03:33:30 pm,774.350,0.0,0.03
,11/06/2018 03:33:30 pm,774.400,0.0,0.03
,11/06/2018 03:33:30 pm,774.450,0.0,0.03
,11/06/2018 03:33:30 pm,774.500,0.0,0.03
,11/06/2018 03:33:30 pm,774.550,0.0,0.03
,11/06/2018 03:33:30 pm,774.600,0.0,0.03
,11/06/2018 03:33:30 pm,774.650,0.0,0.03
,11/06/2018 03:33:30 pm,774.700,0.0,0.03
,11/06/2018 03:33:30 pm,774.750,0.0,0.03
,11/06/2018 03:33:30 pm,774.800,0.0,0.03
,11/06/2018 03:33:30 pm,774.850,0.0,0.03
,11/06/2018 03:33:30 pm,774.900,0.0,0.03
,11/06/2018 03:33:30 pm,774.950,0.0,0.03
,11/06/2018 03:33:31 pm,775.000,0.0,0.03
,11/06/2018 03:33:31 pm,775.050,0.0,0.03
,11/06/2018 03:33:31 pm,775.100,0.0,0.03
,11/06/2018 03:33:31 pm,775.150,0.0,0.03
,11/06/2018 03:33:31 pm,775.200,0.0,0.03
,11/06/2018 03:33:31 pm,775.250,0.0,0.03
,11/06/2018 03:33:31 pm,775.300,0.0,0.03
,11/06/2018 03:33:31 pm,775.350,0.0,0.03
,11/06/2018 03:33:31 pm,775.400,0.0,0.03
,11/06/2018 03:33:31 pm,775.450,0.0,0.03
,11/06/2018 03:33:31 pm,775.500,0.0,0.03
,11/06/2018 03:33:31 pm,775.550,0.0,0.03
,11/06/2018 03:33:31 pm,775.600,0.0,0.03
,11/06/2018 03:33:31 pm,775.650,0.0,0.03
,11/06/2018 03:33:31 pm,775.700,0.0,0.03
,11/06/2018 03:33:31 pm,775.750,0.0,0.03
,11/06/2018 03:33:31 pm,775.800,0.0,0.03
,11/06/2018 03:33:31 pm,775.850,0.0,0.03
,11/06/2018 03:33:31 pm,775.900,0.0,0.03
,11/06/2018 03:33:31 pm,775.950,0.0,0.03
,11/06/2018 03:33:32 pm,776.000,0.0,0.03
,11/06/2018 03:33:32 pm,776.050,0.0,0.03
,11/06/2018 03:33:32 pm,776.100,0.0,0.03
,11/06/2018 03:33:32 pm,776.150,0.0,0.03
,11/06/2018 03:33:32 pm,776.200,0.0,0.03
,11/06/2018 03:33:32 pm,776.250,0.0,0.03
,11/06/2018 03:33:32 pm,776.300,0.0,0.03
,11/06/2018 03:33:32 pm,776.350,0.0,0.03
,11/06/2018 03:33:32 pm,776.400,0.0,0.03
,11/06/2018 03:33:32 pm,776.450,0.0,0.03
,11/06/2018 03:33:32 pm,776.500,0.0,0.03
,11/06/2018 03:33:32 pm,776.550,0.0,0.03
,11/06/2018 03:33:32 pm,776.600,0.0,0.03
,11/06/2018 03:33:32 pm,776.650,0.0,0.03
,11/06/2018 03:33:32 pm,776.700,0.0,0.03
,11/06/2018 03:33:32 pm,776.750,0.0,0.03
,11/06/2018 03:33:32 pm,776.800,0.0,0.03
,11/06/2018 03:33:32 pm,776.850,0.0,0.03
,11/06/2018 03:33:32 pm,776.900,0.0,0.03
,11/06/2018 03:33:32 pm,776.950,0.0,0.03
,11/06/2018 03:33:33 pm,777.000,0.0,0.03
,11/06/2018 03:33:33 pm,777.050,0.0,0.03
,11/06/2018 03:33:33 pm,777.100,0.0,0.03
,11/06/2018 03:33:33 pm,777.150,0.0,0.03
,11/06/2018 03:33:33 pm,777.200,0.0,0.03
,11/06/2018 03:33:33 pm,777.250,0.0,0.03
,11/06/2018 03:33:33 pm,777.300,0.0,0.03
,11/06/2018 03:33:33 pm,777.350,0.0,0.03
,11/06/2018 03:33:33 pm,777.400,0.0,0.03
,11/06/2018 03:33:33 pm,777.450,0.0,0.03
,11/06/2018 03:33:33 pm,777.500,0.0,0.03
,11/06/2018 03:33:33 pm,777.550,0.0,0.03
,11/06/2018 03:33:33 pm,777.600,0.0,0.03
,11/06/2018 03:33:33 pm,777.650,0.0,0.03
,11/06/2018 03:33:33 pm,777.700,0.0,0.03
,11/06/2018 03:33:33 pm,777.750,0.0,0.03
,11/06/2018 03:33:33 pm,777.800,0.0,0.03
,11/06/2018 03:33:33 pm,777.850,0.0,0.03
,11/06/2018 03:33:33 pm,777.900,0.0,0.03
,11/06/2018 03:33:33 pm,777.950,0.0,0.03
,11/06/2018 03:33:34 pm,778.000,0.0,0.03
,11/06/2018 03:33:34 pm,778.050,0.0,0.03
,11/06/2018 03:33:34 pm,778.100,0.0,0.03
,11/06/2018 03:33:34 pm,778.150,0.0,0.03
,11/06/2018 03:33:34 pm,778.200,0.0,0.03
,11/06/2018 03:33:34 pm,778.250,0.0,0.03
,11/06/2018 03:33:34 pm,778.300,0.0,0.03
,11/06/2018 03:33:34 pm,778.350,0.0,0.03
,11/06/2018 03:33:34 pm,778.400,0.0,0.03
,11/06/2018 03:33:34 pm,778.450,0.0,0.03
,11/06/2018 03:33:34 pm,778.500,0.0,0.03
,11/06/2018 03:33:34 pm,778.550,0.0,0.03
,11/06/2018 03:33:34 pm,778.600,0.0,0.03
,11/06/2018 03:33:34 pm,778.650,0.0,0.03
,11/06/2018 03:33:34 pm,778.700,0.0,0.03
,11/06/2018 03:33:34 pm,778.750,0.0,0.03
,11/06/2018 03:33:34 pm,778.800,0.0,0.03
,11/06/2018 03:33:34 pm,778.850,0.0,0.03
,11/06/2018 03:33:34 pm,778.900,0.0,0.03
,11/06/2018 03:33:34 pm,778.950,0.0,0.03
,11/06/2018 03:33:35 pm,779.000,0.0,0.03
,11/06/2018 03:33:35 pm,779.050,0.0,0.03
