color  theta1 theta2 dTheta theta thetaRad lambda
yellow 21     -19.5  40.5   20.25 0.353    577
green  20     -17.5  37.5   18.75 0.327    536
cyan   17.5   -16.5  34     17    0.296    487
purple 16     -14    30     15    0.262    431
purple 14.5   -13.5  28     14    0.244    403
blue   13     -12.5  25.5   12.75 0.222    368     
